cruise,file,time,lat,lon,opp_evt_ratio,flow_rate,file_duration,pop,n_count,abundance,fsc_small,chl_small,pe
realtime,2015-03-21T05-10-21+00-00,2015-03-21T05:10:21+00:00,46.0948,-124.3594,0.00497090203685742,2471.3437336,180.143,beads,13,0.352459201219068,541.507187794585,422.446016750136,1180.18815445385
realtime,2015-03-21T05-10-21+00-00,2015-03-21T05:10:21+00:00,46.0948,-124.3594,0.00497090203685742,2471.3437336,180.143,unknown,7859,213.07514326005,209.068169031569,120.508621568303,33.8534937051782
realtime,2015-03-21T05-13-22+00-00,2015-03-21T05:13:22+00:00,46.0897,-124.3677,0.00459593949044586,2471.3437336,180.062,beads,9,0.264036661783968,555.041555975983,17.9392015013614,1137.99199722581
realtime,2015-03-21T05-13-22+00-00,2015-03-21T05:13:22+00:00,46.0897,-124.3677,0.00459593949044586,2471.3437336,180.062,picoeuk,2641,77.480091530162,352.9284973754,317.681926306433,31.8497062891117
realtime,2015-03-21T05-13-22+00-00,2015-03-21T05:13:22+00:00,46.0897,-124.3677,0.00459593949044586,2471.3437336,180.062,synecho,2139,62.7527132839896,74.7274921668166,14.6320366219727,54.5252949133266
realtime,2015-03-21T05-13-22+00-00,2015-03-21T05:13:22+00:00,46.0897,-124.3677,0.00459593949044586,2471.3437336,180.062,unknown,2138,62.7233758771247,146.031040826683,6.63317336866305,15.9855648166774
realtime,2015-03-21T05-16-22+00-00,2015-03-21T05:16:22+00:00,46.0830,-124.3787,0.00456488010499155,2471.3437336,180.041,beads,6,0.177242780424872,517.431860126908,18.2480818972192,1199.95722056779
realtime,2015-03-21T05-16-22+00-00,2015-03-21T05:16:22+00:00,46.0830,-124.3787,0.00456488010499155,2471.3437336,180.041,picoeuk,2498,73.7920775835551,360.643075130949,320.265454944073,50.2947288669195
realtime,2015-03-21T05-16-22+00-00,2015-03-21T05:16:22+00:00,46.0830,-124.3787,0.00456488010499155,2471.3437336,180.041,synecho,1923,56.8063111261715,74.730031171484,14.7939474872561,53.8041677311187
realtime,2015-03-21T05-16-22+00-00,2015-03-21T05:16:22+00:00,46.0830,-124.3787,0.00456488010499155,2471.3437336,180.041,unknown,2140,63.2165916848711,161.762077182631,5.92787735049713,18.5063039045969
realtime,2015-03-21T05-19-22+00-00,2015-03-21T05:19:22+00:00,46.0764,-124.3890,0.00446301545263527,2471.3437336,180.031,beads,13,0.392812919977508,566.90043355047,211.038862326517,1111.14148796928
realtime,2015-03-21T05-19-22+00-00,2015-03-21T05:19:22+00:00,46.0764,-124.3890,0.00446301545263527,2471.3437336,180.031,picoeuk,2632,79.5295081062155,372.349635115795,318.250456978121,35.3076220784568
realtime,2015-03-21T05-19-22+00-00,2015-03-21T05:19:22+00:00,46.0764,-124.3890,0.00446301545263527,2471.3437336,180.031,synecho,2003,60.5234060549961,74.2472567689579,14.4377481612986,52.4623307502942
realtime,2015-03-21T05-19-22+00-00,2015-03-21T05:19:22+00:00,46.0764,-124.3890,0.00446301545263527,2471.3437336,180.031,unknown,1877,56.7161423690602,172.028933611754,6.63030265279107,15.9901214952871
realtime,2015-03-21T05-22-22+00-00,2015-03-21T05:22:22+00:00,46.0697,-124.3998,0.00456257162376587,2471.3437336,180.11,beads,9,0.265896783529087,520.44816592385,16.5531459457345,998.508231167383
realtime,2015-03-21T05-22-22+00-00,2015-03-21T05:22:22+00:00,46.0697,-124.3998,0.00456257162376587,2471.3437336,180.11,picoeuk,2632,77.7600371387285,361.509132723877,294.598553349583,31.3694374814627
realtime,2015-03-21T05-22-22+00-00,2015-03-21T05:22:22+00:00,46.0697,-124.3998,0.00456257162376587,2471.3437336,180.11,synecho,2174,64.2288452658039,75.8554285216813,14.9653081766545,56.729882601848
realtime,2015-03-21T05-22-22+00-00,2015-03-21T05:22:22+00:00,46.0697,-124.3998,0.00456257162376587,2471.3437336,180.11,unknown,1810,53.4747975764053,172.49482319225,6.14417167035312,22.6213230204442
realtime,2015-03-21T05-25-22+00-00,2015-03-21T05:25:22+00:00,46.0645,-124.4078,0.00480832384622121,2471.3437336,180.078,beads,5,0.140195389401704,530.520837161697,19.4213669721328,1189.94255881226
realtime,2015-03-21T05-25-22+00-00,2015-03-21T05:25:22+00:00,46.0645,-124.4078,0.00480832384622121,2471.3437336,180.078,picoeuk,2895,81.1731304635868,355.582868629373,300.451728280615,28.785704905583
